row,score,image
7274,7.5,3450
7275,7.0,3449
7276,8.0,3448
7277,6.5,3447
7278,7.5,3446
7279,7.0,3445
7280,8.0,3444
7281,7.0,3443
7282,8.0,3442
7283,7.5,2829
7284,8.0,2828
7285,5.0,2827
7286,7.5,2826
7287,7.0,2825
7289,8.0,2823
7290,7.0,2822
7291,8.0,2821
7292,7.0,2820
7293,8.0,2819
7294,6.5,2818
7295,6.0,2817
7296,7.0,2816
7297,8.0,2815
7298,7.5,2814
7299,8.0,2830
7300,5.0,2831
7301,7.5,2832
7302,6.5,2833
7304,7.5,2835
7305,6.0,2836
7306,7.0,2837
7307,7.0,2838
7308,7.0,2839
7309,7.0,2840
7310,7.0,2841
7311,7.0,2842
7312,7.5,2843
7313,7.5,2844
7314,7.5,2845
7315,5.0,3454
7316,6.0,3455
7318,7.5,3457
7319,7.0,3458
7320,7.5,3459
7321,7.0,3460
7322,8.0,3461
7323,7.0,3462
7324,7.5,3463
7325,7.0,3464
7326,8.0,3465
7327,7.5,3477
7328,8.0,3476
7329,5.5,3475
7330,7.5,3474
7331,6.0,3473
7333,7.5,3471
7334,6.5,3470
7335,7.5,3469
7336,7.0,3468
7337,7.0,3467
7338,6.5,3466
7339,7.0,2861
7340,6.0,2860
7341,8.0,2859
7342,7.5,2858
7343,8.0,2857
7344,5.0,2856
7345,7.0,2855
7347,7.5,2853
7348,7.0,2852
7349,7.5,2851
7350,6.5,2850
7351,7.5,2849
7352,7.0,2848
7353,7.5,2847
7354,7.0,2846
7355,8.0,2862
7356,8.0,2863
7357,8.0,2864
7358,5.0,2865
7359,7.5,2866
7361,7.5,2868
7362,6.5,2869
7363,7.5,2870
7364,6.5,2871
7365,7.5,2872
7366,7.0,2873
7367,7.5,2874
7368,7.0,2875
7369,8.0,2876
7370,8.0,2877
7371,8.0,3478
7372,8.0,3479
7373,5.0,3480
7374,6.0,3481
7375,7.5,3482
7377,8.0,3484
7378,7.0,3485
7379,8.0,3486
7380,7.0,3487
7381,8.0,3488
7382,7.0,3489
7383,8.0,3501
7384,7.5,3500
7385,5.0,3499
7386,7.5,3498
7387,6.5,3497
7389,8.0,3495
